Processing files...
estimator: SVC; dim_reduction: pca; min_score: 0.876; mean_score: 0.912; max_score: 0.957; std_score: 0.031; Parameters: {'dim_red__n_components': 43, 'classifier__gamma': 0.1, 'classifier__class_weight': 'balanced', 'classifier__kernel': 'rbf', 'classifier__C': 100}
estimator: ExtraTreesClassifier; dim_reduction: pca; min_score: 0.879; mean_score: 0.907; max_score: 0.946; std_score: 0.025; Parameters: {'classifier__class_weight': {}, 'dim_red__n_components': 20, 'classifier__n_estimators': 32}
estimator: ExtraTreesClassifier; dim_reduction: pca; min_score: 0.872; mean_score: 0.912; max_score: 0.961; std_score: 0.029; Parameters: {'classifier__class_weight': {}, 'dim_red__n_components': 33, 'classifier__n_estimators': 32}
estimator: ExtraTreesClassifier; dim_reduction: pca; min_score: 0.87; mean_score: 0.91; max_score: 0.958; std_score: 0.03; Parameters: {'classifier__class_weight': {}, 'dim_red__n_components': 43, 'classifier__n_estimators': 32}
estimator: ExtraTreesClassifier; dim_reduction: pca; min_score: 0.881; mean_score: 0.911; max_score: 0.952; std_score: 0.025; Parameters: {'classifier__class_weight': {}, 'dim_red__n_components': 20, 'classifier__n_estimators': 64}
estimator: ExtraTreesClassifier; dim_reduction: pca; min_score: 0.877; mean_score: 0.913; max_score: 0.959; std_score: 0.028; Parameters: {'classifier__class_weight': {}, 'dim_red__n_components': 33, 'classifier__n_estimators': 64}
estimator: ExtraTreesClassifier; dim_reduction: pca; min_score: 0.88; mean_score: 0.916; max_score: 0.962; std_score: 0.029; Parameters: {'classifier__class_weight': {}, 'dim_red__n_components': 43, 'classifier__n_estimators': 64}
estimator: ExtraTreesClassifier; dim_reduction: pca; min_score: 0.872; mean_score: 0.905; max_score: 0.951; std_score: 0.027; Parameters: {'classifier__class_weight': 'balanced', 'dim_red__n_components': 20, 'classifier__n_estimators': 32}
estimator: ExtraTreesClassifier; dim_reduction: pca; min_score: 0.881; mean_score: 0.91; max_score: 0.952; std_score: 0.025; Parameters: {'classifier__class_weight': 'balanced', 'dim_red__n_components': 33, 'classifier__n_estimators': 32}
estimator: ExtraTreesClassifier; dim_reduction: pca; min_score: 0.86; mean_score: 0.903; max_score: 0.958; std_score: 0.034; Parameters: {'classifier__class_weight': 'balanced', 'dim_red__n_components': 43, 'classifier__n_estimators': 32}
estimator: ExtraTreesClassifier; dim_reduction: pca; min_score: 0.876; mean_score: 0.906; max_score: 0.952; std_score: 0.026; Parameters: {'classifier__class_weight': 'balanced', 'dim_red__n_components': 20, 'classifier__n_estimators': 64}
estimator: ExtraTreesClassifier; dim_reduction: pca; min_score: 0.881; mean_score: 0.915; max_score: 0.958; std_score: 0.026; Parameters: {'classifier__class_weight': 'balanced', 'dim_red__n_components': 33, 'classifier__n_estimators': 64}
estimator: ExtraTreesClassifier; dim_reduction: pca; min_score: 0.887; mean_score: 0.916; max_score: 0.962; std_score: 0.029; Parameters: {'classifier__class_weight': 'balanced', 'dim_red__n_components': 43, 'classifier__n_estimators': 64}
estimator: RandomForestClassifier; dim_reduction: pca; min_score: 0.861; mean_score: 0.899; max_score: 0.94; std_score: 0.028; Parameters: {'classifier__class_weight': {}, 'dim_red__n_components': 20, 'classifier__n_estimators': 32}
estimator: RandomForestClassifier; dim_reduction: pca; min_score: 0.854; mean_score: 0.901; max_score: 0.95; std_score: 0.031; Parameters: {'classifier__class_weight': {}, 'dim_red__n_components': 33, 'classifier__n_estimators': 32}
estimator: RandomForestClassifier; dim_reduction: pca; min_score: 0.877; mean_score: 0.906; max_score: 0.955; std_score: 0.027; Parameters: {'classifier__class_weight': {}, 'dim_red__n_components': 43, 'classifier__n_estimators': 32}
estimator: RandomForestClassifier; dim_reduction: pca; min_score: 0.856; mean_score: 0.899; max_score: 0.944; std_score: 0.029; Parameters: {'classifier__class_weight': {}, 'dim_red__n_components': 20, 'classifier__n_estimators': 64}
estimator: RandomForestClassifier; dim_reduction: pca; min_score: 0.855; mean_score: 0.906; max_score: 0.959; std_score: 0.034; Parameters: {'classifier__class_weight': {}, 'dim_red__n_components': 33, 'classifier__n_estimators': 64}
estimator: RandomForestClassifier; dim_reduction: pca; min_score: 0.876; mean_score: 0.911; max_score: 0.96; std_score: 0.029; Parameters: {'classifier__class_weight': {}, 'dim_red__n_components': 43, 'classifier__n_estimators': 64}
estimator: RandomForestClassifier; dim_reduction: pca; min_score: 0.85; mean_score: 0.896; max_score: 0.948; std_score: 0.032; Parameters: {'classifier__class_weight': 'balanced', 'dim_red__n_components': 20, 'classifier__n_estimators': 32}
estimator: RandomForestClassifier; dim_reduction: pca; min_score: 0.855; mean_score: 0.902; max_score: 0.955; std_score: 0.034; Parameters: {'classifier__class_weight': 'balanced', 'dim_red__n_components': 33, 'classifier__n_estimators': 32}
estimator: RandomForestClassifier; dim_reduction: pca; min_score: 0.874; mean_score: 0.908; max_score: 0.962; std_score: 0.031; Parameters: {'classifier__class_weight': 'balanced', 'dim_red__n_components': 43, 'classifier__n_estimators': 32}
estimator: RandomForestClassifier; dim_reduction: pca; min_score: 0.864; mean_score: 0.903; max_score: 0.953; std_score: 0.03; Parameters: {'classifier__class_weight': 'balanced', 'dim_red__n_components': 20, 'classifier__n_estimators': 64}
estimator: RandomForestClassifier; dim_reduction: pca; min_score: 0.87; mean_score: 0.908; max_score: 0.958; std_score: 0.03; Parameters: {'classifier__class_weight': 'balanced', 'dim_red__n_components': 33, 'classifier__n_estimators': 64}
estimator: RandomForestClassifier; dim_reduction: pca; min_score: 0.877; mean_score: 0.91; max_score: 0.961; std_score: 0.03; Parameters: {'classifier__class_weight': 'balanced', 'dim_red__n_components': 43, 'classifier__n_estimators': 64}
estimator: KNN; dim_reduction: kbest; min_score: 0.827; mean_score: 0.881; max_score: 0.927; std_score: 0.034; Parameters: {'dim_red__k': 20, 'classifier__n_neighbors': 2, 'classifier__leaf_size': 30, 'classifier__weights': 'uniform'}
estimator: KNN; dim_reduction: kbest; min_score: 0.867; mean_score: 0.905; max_score: 0.948; std_score: 0.028; Parameters: {'dim_red__k': 33, 'classifier__n_neighbors': 2, 'classifier__leaf_size': 30, 'classifier__weights': 'uniform'}
estimator: KNN; dim_reduction: kbest; min_score: 0.867; mean_score: 0.905; max_score: 0.949; std_score: 0.028; Parameters: {'dim_red__k': 43, 'classifier__n_neighbors': 2, 'classifier__leaf_size': 30, 'classifier__weights': 'uniform'}
estimator: KNN; dim_reduction: kbest; min_score: 0.851; mean_score: 0.893; max_score: 0.94; std_score: 0.033; Parameters: {'dim_red__k': 20, 'classifier__n_neighbors': 2, 'classifier__leaf_size': 30, 'classifier__weights': 'distance'}
estimator: KNN; dim_reduction: kbest; min_score: 0.878; mean_score: 0.912; max_score: 0.955; std_score: 0.028; Parameters: {'dim_red__k': 33, 'classifier__n_neighbors': 2, 'classifier__leaf_size': 30, 'classifier__weights': 'distance'}
estimator: KNN; dim_reduction: kbest; min_score: 0.88; mean_score: 0.912; max_score: 0.954; std_score: 0.028; Parameters: {'dim_red__k': 43, 'classifier__n_neighbors': 2, 'classifier__leaf_size': 30, 'classifier__weights': 'distance'}
estimator: KNN; dim_reduction: kbest; min_score: 0.852; mean_score: 0.895; max_score: 0.945; std_score: 0.034; Parameters: {'dim_red__k': 20, 'classifier__n_neighbors': 3, 'classifier__leaf_size': 30, 'classifier__weights': 'uniform'}
estimator: KNN; dim_reduction: kbest; min_score: 0.886; mean_score: 0.914; max_score: 0.956; std_score: 0.024; Parameters: {'dim_red__k': 33, 'classifier__n_neighbors': 3, 'classifier__leaf_size': 30, 'classifier__weights': 'uniform'}
estimator: KNN; dim_reduction: kbest; min_score: 0.886; mean_score: 0.915; max_score: 0.956; std_score: 0.024; Parameters: {'dim_red__k': 43, 'classifier__n_neighbors': 3, 'classifier__leaf_size': 30, 'classifier__weights': 'uniform'}
estimator: KNN; dim_reduction: kbest; min_score: 0.854; mean_score: 0.898; max_score: 0.946; std_score: 0.034; Parameters: {'dim_red__k': 20, 'classifier__n_neighbors': 3, 'classifier__leaf_size': 30, 'classifier__weights': 'distance'}
estimator: KNN; dim_reduction: kbest; min_score: 0.883; mean_score: 0.915; max_score: 0.956; std_score: 0.025; Parameters: {'dim_red__k': 33, 'classifier__n_neighbors': 3, 'classifier__leaf_size': 30, 'classifier__weights': 'distance'}
estimator: KNN; dim_reduction: kbest; min_score: 0.884; mean_score: 0.915; max_score: 0.956; std_score: 0.025; Parameters: {'dim_red__k': 43, 'classifier__n_neighbors': 3, 'classifier__leaf_size': 30, 'classifier__weights': 'distance'}
estimator: KNN; dim_reduction: kbest; min_score: 0.852; mean_score: 0.896; max_score: 0.946; std_score: 0.034; Parameters: {'dim_red__k': 20, 'classifier__n_neighbors': 5, 'classifier__leaf_size': 30, 'classifier__weights': 'uniform'}
estimator: KNN; dim_reduction: kbest; min_score: 0.874; mean_score: 0.91; max_score: 0.959; std_score: 0.03; Parameters: {'dim_red__k': 33, 'classifier__n_neighbors': 5, 'classifier__leaf_size': 30, 'classifier__weights': 'uniform'}
estimator: KNN; dim_reduction: kbest; min_score: 0.874; mean_score: 0.91; max_score: 0.959; std_score: 0.03; Parameters: {'dim_red__k': 43, 'classifier__n_neighbors': 5, 'classifier__leaf_size': 30, 'classifier__weights': 'uniform'}
estimator: KNN; dim_reduction: kbest; min_score: 0.853; mean_score: 0.897; max_score: 0.948; std_score: 0.034; Parameters: {'dim_red__k': 20, 'classifier__n_neighbors': 5, 'classifier__leaf_size': 30, 'classifier__weights': 'distance'}
estimator: KNN; dim_reduction: kbest; min_score: 0.875; mean_score: 0.912; max_score: 0.961; std_score: 0.03; Parameters: {'dim_red__k': 33, 'classifier__n_neighbors': 5, 'classifier__leaf_size': 30, 'classifier__weights': 'distance'}
estimator: KNN; dim_reduction: kbest; min_score: 0.875; mean_score: 0.912; max_score: 0.961; std_score: 0.03; Parameters: {'dim_red__k': 43, 'classifier__n_neighbors': 5, 'classifier__leaf_size': 30, 'classifier__weights': 'distance'}
estimator: KNN; dim_reduction: kbest; min_score: 0.827; mean_score: 0.881; max_score: 0.927; std_score: 0.034; Parameters: {'dim_red__k': 20, 'classifier__n_neighbors': 2, 'classifier__leaf_size': 10, 'classifier__weights': 'uniform'}
estimator: KNN; dim_reduction: kbest; min_score: 0.867; mean_score: 0.905; max_score: 0.948; std_score: 0.028; Parameters: {'dim_red__k': 33, 'classifier__n_neighbors': 2, 'classifier__leaf_size': 10, 'classifier__weights': 'uniform'}
estimator: KNN; dim_reduction: kbest; min_score: 0.867; mean_score: 0.905; max_score: 0.949; std_score: 0.028; Parameters: {'dim_red__k': 43, 'classifier__n_neighbors': 2, 'classifier__leaf_size': 10, 'classifier__weights': 'uniform'}
estimator: KNN; dim_reduction: kbest; min_score: 0.851; mean_score: 0.893; max_score: 0.94; std_score: 0.033; Parameters: {'dim_red__k': 20, 'classifier__n_neighbors': 2, 'classifier__leaf_size': 10, 'classifier__weights': 'distance'}
estimator: KNN; dim_reduction: kbest; min_score: 0.878; mean_score: 0.912; max_score: 0.955; std_score: 0.028; Parameters: {'dim_red__k': 33, 'classifier__n_neighbors': 2, 'classifier__leaf_size': 10, 'classifier__weights': 'distance'}
estimator: KNN; dim_reduction: kbest; min_score: 0.88; mean_score: 0.912; max_score: 0.954; std_score: 0.028; Parameters: {'dim_red__k': 43, 'classifier__n_neighbors': 2, 'classifier__leaf_size': 10, 'classifier__weights': 'distance'}
estimator: KNN; dim_reduction: kbest; min_score: 0.851; mean_score: 0.895; max_score: 0.945; std_score: 0.034; Parameters: {'dim_red__k': 20, 'classifier__n_neighbors': 3, 'classifier__leaf_size': 10, 'classifier__weights': 'uniform'}
estimator: KNN; dim_reduction: kbest; min_score: 0.886; mean_score: 0.914; max_score: 0.956; std_score: 0.024; Parameters: {'dim_red__k': 33, 'classifier__n_neighbors': 3, 'classifier__leaf_size': 10, 'classifier__weights': 'uniform'}
estimator: KNN; dim_reduction: kbest; min_score: 0.886; mean_score: 0.914; max_score: 0.956; std_score: 0.024; Parameters: {'dim_red__k': 43, 'classifier__n_neighbors': 3, 'classifier__leaf_size': 10, 'classifier__weights': 'uniform'}
estimator: KNN; dim_reduction: kbest; min_score: 0.854; mean_score: 0.897; max_score: 0.946; std_score: 0.034; Parameters: {'dim_red__k': 20, 'classifier__n_neighbors': 3, 'classifier__leaf_size': 10, 'classifier__weights': 'distance'}
estimator: KNN; dim_reduction: kbest; min_score: 0.883; mean_score: 0.915; max_score: 0.956; std_score: 0.025; Parameters: {'dim_red__k': 33, 'classifier__n_neighbors': 3, 'classifier__leaf_size': 10, 'classifier__weights': 'distance'}
estimator: KNN; dim_reduction: kbest; min_score: 0.884; mean_score: 0.915; max_score: 0.956; std_score: 0.025; Parameters: {'dim_red__k': 43, 'classifier__n_neighbors': 3, 'classifier__leaf_size': 10, 'classifier__weights': 'distance'}
